grupo_id,grupo,descripcion_grupo,actividad_nro,tipo,nombre_actividad
1,Prework Review,"The Pre-work was about Python, Numpy, Pandas and Matplotlib but we understand that was a lot, let's go over some of the concepts with the rest of your cohort and mentors.",1,Read,Python for DataScience
1,Prework Review,"The Pre-work was about Python, Numpy, Pandas and Matplotlib but we understand that was a lot, let's go over some of the concepts with the rest of your cohort and mentors.",2,Read,Introduction to Numpy
1,Prework Review,"The Pre-work was about Python, Numpy, Pandas and Matplotlib but we understand that was a lot, let's go over some of the concepts with the rest of your cohort and mentors.",3,Read,Introduction to Python Pandas
1,Prework Review,"The Pre-work was about Python, Numpy, Pandas and Matplotlib but we understand that was a lot, let's go over some of the concepts with the rest of your cohort and mentors.",4,Read,Intro to Matplotlib
1,Prework Review,"The Pre-work was about Python, Numpy, Pandas and Matplotlib but we understand that was a lot, let's go over some of the concepts with the rest of your cohort and mentors.",5,Practice,Learn Python Interactively (beginner)
1,Prework Review,"The Pre-work was about Python, Numpy, Pandas and Matplotlib but we understand that was a lot, let's go over some of the concepts with the rest of your cohort and mentors.",6,Practice,Pandas tutorial exercises
1,Prework Review,"The Pre-work was about Python, Numpy, Pandas and Matplotlib but we understand that was a lot, let's go over some of the concepts with the rest of your cohort and mentors.",7,Project,Real Estate Data Cleanup
2,Calculus and L. Algebra,"Linear Algebra's Matrix and Vectors are heavily used in Machine Learning, these structures are mainly used to store manipulate high amounts of information. Also, L. algebra functions ""f(x)"" help understand the relationship between target variables ""y"" and their predictors ""x"".",1,Read,Linear Algebra
2,Calculus and L. Algebra,"Linear Algebra's Matrix and Vectors are heavily used in Machine Learning, these structures are mainly used to store manipulate high amounts of information. Also, L. algebra functions ""f(x)"" help understand the relationship between target variables ""y"" and their predictors ""x"".",2,Read,Calculus Derivatives with python
2,Calculus and L. Algebra,"Linear Algebra's Matrix and Vectors are heavily used in Machine Learning, these structures are mainly used to store manipulate high amounts of information. Also, L. algebra functions ""f(x)"" help understand the relationship between target variables ""y"" and their predictors ""x"".",3,Read,Integrals and Derivatives
2,Calculus and L. Algebra,"Linear Algebra's Matrix and Vectors are heavily used in Machine Learning, these structures are mainly used to store manipulate high amounts of information. Also, L. algebra functions ""f(x)"" help understand the relationship between target variables ""y"" and their predictors ""x"".",4,Read,Plotting Functions With Python
3,Github,"GitHub is where 90% of the world's code lives. Most data science libraries, large language models, and notebooks are open-source and through GitHub. The reason for this is collaboration: Today, you will collaborate like a real AI professional!",1,Read,Learn in Public
3,Github,"GitHub is where 90% of the world's code lives. Most data science libraries, large language models, and notebooks are open-source and through GitHub. The reason for this is collaboration: Today, you will collaborate like a real AI professional!",2,Read,How to use GIT: Version Control System
3,Github,"GitHub is where 90% of the world's code lives. Most data science libraries, large language models, and notebooks are open-source and through GitHub. The reason for this is collaboration: Today, you will collaborate like a real AI professional!",3,Read,Avoid deletion of your projects on Github
3,Github,"GitHub is where 90% of the world's code lives. Most data science libraries, large language models, and notebooks are open-source and through GitHub. The reason for this is collaboration: Today, you will collaborate like a real AI professional!",4,Practice,Git Interactive Exercises
3,Github,"GitHub is where 90% of the world's code lives. Most data science libraries, large language models, and notebooks are open-source and through GitHub. The reason for this is collaboration: Today, you will collaborate like a real AI professional!",5,Project,Fix the Misspell Challenge
3,Github,"GitHub is where 90% of the world's code lives. Most data science libraries, large language models, and notebooks are open-source and through GitHub. The reason for this is collaboration: Today, you will collaborate like a real AI professional!",6,Project,Learn in Public
4,Probability,"A machine learning algorithm is basically all about probability, you have to predict how probable an event or data is to happen, that is why we need to go over the basic probability functions to better create our future models.",1,Read,Probability
5,Descriptive Statistics,"When you have a big dataset, you cannot calculate very specific values because there is too much data, what you can do is get central tendency values like the mean, median and standard deviation and others.",1,Read,Mean and Std with Python
5,Descriptive Statistics,"When you have a big dataset, you cannot calculate very specific values because there is too much data, what you can do is get central tendency values like the mean, median and standard deviation and others.",2,Read,Descriptive Statistics
6,Random Variables,"In order to predict better, we first need to understand how our dataset values are distributed, based on that we can better identify outliers, fill missing values and do better data mining in general.",1,Read,Random Variables
6,Random Variables,"In order to predict better, we first need to understand how our dataset values are distributed, based on that we can better identify outliers, fill missing values and do better data mining in general.",2,Read,Bernoulli Probability with Python
6,Random Variables,"In order to predict better, we first need to understand how our dataset values are distributed, based on that we can better identify outliers, fill missing values and do better data mining in general.",3,Read,Binomial Probability with Python
6,Random Variables,"In order to predict better, we first need to understand how our dataset values are distributed, based on that we can better identify outliers, fill missing values and do better data mining in general.",4,Read,Plotting Binomial Distribution with Python
7,Hypothesis Testing,"Before creating an algorithm/model with your assumptions, it's recommended to use Hypothesis Testing (defining a null and alternative hypothesis) and test agains it.",1,Read,Hypothesis Testing
8,Algorithm Optimization,"Algorithms need time and space to run, as a machine learning engineer you should learn how to optimize your code to take the lowest amount of space without taking too much time to execute.",1,Read,Algorithms and Data Structures Optimization
8,Algorithm Optimization,"Algorithms need time and space to run, as a machine learning engineer you should learn how to optimize your code to take the lowest amount of space without taking too much time to execute.",2,Project,Algorithm Optimization Project for Machine Learning
9,M.L. Ops,"If you are going to be deploying your machine learning models you need to know the command line, python package manager (PIP) and the cookie cutter boilerplate (at least). Today you will get the first Machine Learning Operations lesson.",1,Read,How to use Github Codespaces
9,M.L. Ops,"If you are going to be deploying your machine learning models you need to know the command line, python package manager (PIP) and the cookie cutter boilerplate (at least). Today you will get the first Machine Learning Operations lesson.",2,Read,The Command Line (a.k.a: The Terminal)
